FL_DATE,ORIGIN_STATE,FLIGHT_COUNT
2020-04-15,Maine,25
2020-04-15,Maryland,182
2020-04-15,Massachusetts,105
2020-04-15,Michigan,265
2020-04-15,Minnesota,184
2020-04-15,Mississippi,23
2020-04-15,Missouri,214
2020-04-15,Montana,34
2020-04-15,Nebraska,51
2020-04-15,Nevada,215
2020-04-15,New Hampshire,24
2020-04-15,New Jersey,72
2020-04-15,New Mexico,44
2020-04-15,New York,254
2020-04-15,North Carolina,540
2020-04-15,North Dakota,32
2020-04-15,Ohio,132
2020-04-15,Oklahoma,71
2020-04-15,Oregon,93
2020-04-15,Pennsylvania,332
2020-04-15,Puerto Rico,18
2020-04-15,Rhode Island,27
2020-04-15,South Carolina,84
2020-04-15,South Dakota,27
2020-04-15,Tennessee,189
2020-04-15,Texas,1126
2020-04-15,U.S. Pacific Trust Territories and Possessions,1
2020-04-15,U.S. Virgin Islands,3
2020-04-15,Utah,152
2020-04-15,Vermont,12
2020-04-15,Virginia,342
2020-04-15,Washington,217
2020-04-15,West Virginia,11
2020-04-15,Wisconsin,102
2020-04-15,Wyoming,13
2020-04-16,Alabama,55
2020-04-16,Alaska,46
2020-04-16,Arizona,280
2020-04-16,Arkansas,51
2020-04-16,California,868
2020-04-16,Colorado,457
2020-04-16,Connecticut,36
2020-04-16,Florida,697
2020-04-16,Georgia,394
2020-04-16,Hawaii,71
2020-04-16,Idaho,41
2020-04-16,Illinois,669
2020-04-16,Indiana,94
2020-04-16,Iowa,50
2020-04-16,Kansas,31
2020-04-16,Kentucky,117
2020-04-16,Louisiana,122
2020-04-16,Maine,24
2020-04-16,Maryland,181
2020-04-16,Massachusetts,122
2020-04-16,Michigan,267
2020-04-16,Minnesota,184
2020-04-16,Mississippi,24
2020-04-16,Missouri,221
2020-04-16,Montana,36
2020-04-16,Nebraska,50
2020-04-16,Nevada,246
2020-04-16,New Hampshire,23
2020-04-16,New Jersey,79
2020-04-16,New Mexico,45
2020-04-16,New York,284
2020-04-16,North Carolina,570
2020-04-16,North Dakota,36
2020-04-16,Ohio,138
2020-04-16,Oklahoma,71
2020-04-16,Oregon,98
2020-04-16,Pennsylvania,335
2020-04-16,Puerto Rico,18
2020-04-16,Rhode Island,29
2020-04-16,South Carolina,90
2020-04-16,South Dakota,30
2020-04-16,Tennessee,204
2020-04-16,Texas,1166
2020-04-16,U.S. Pacific Trust Territories and Possessions,1
2020-04-16,U.S. Virgin Islands,3
2020-04-16,Utah,160
2020-04-16,Vermont,13
2020-04-16,Virginia,357
2020-04-16,Washington,235
2020-04-16,West Virginia,15
2020-04-16,Wisconsin,108
2020-04-16,Wyoming,12
2020-04-17,Alabama,52
2020-04-17,Alaska,43
2020-04-17,Arizona,280
2020-04-17,Arkansas,49
2020-04-17,California,856
2020-04-17,Colorado,455
2020-04-17,Connecticut,35
2020-04-17,Florida,724
2020-04-17,Georgia,394
2020-04-17,Hawaii,71
2020-04-17,Idaho,38
2020-04-17,Illinois,652
2020-04-17,Indiana,98
2020-04-17,Iowa,48
2020-04-17,Kansas,29
2020-04-17,Kentucky,114
2020-04-17,Louisiana,124
2020-04-17,Maine,25
2020-04-17,Maryland,180
2020-04-17,Massachusetts,118
2020-04-17,Michigan,267
2020-04-17,Minnesota,185
2020-04-17,Mississippi,24
2020-04-17,Missouri,216
2020-04-17,Montana,36
2020-04-17,Nebraska,50
2020-04-17,Nevada,251
2020-04-17,New Hampshire,23
2020-04-17,New Jersey,43
2020-04-17,New Mexico,46
2020-04-17,New York,276
2020-04-17,North Carolina,582
2020-04-17,North Dakota,33
2020-04-17,Ohio,131
2020-04-17,Oklahoma,71
2020-04-17,Oregon,102
2020-04-17,Pennsylvania,327
2020-04-17,Puerto Rico,20
2020-04-17,Rhode Island,29
2020-04-17,South Carolina,86
2020-04-17,South Dakota,24
2020-04-17,Tennessee,197
2020-04-17,Texas,1136
2020-04-17,U.S. Pacific Trust Territories and Possessions,1
2020-04-17,U.S. Virgin Islands,3
2020-04-17,Utah,155
2020-04-17,Vermont,13
2020-04-17,Virginia,342
2020-04-17,Washington,221
2020-04-17,West Virginia,14
2020-04-17,Wisconsin,107
2020-04-17,Wyoming,13
2020-04-18,Alabama,46
2020-04-18,Alaska,34
2020-04-18,Arizona,257
2020-04-18,Arkansas,41
2020-04-18,California,683
2020-04-18,Colorado,375
2020-04-18,Connecticut,34
2020-04-18,Florida,689
2020-04-18,Georgia,329
2020-04-18,Hawaii,72
2020-04-18,Idaho,33
2020-04-18,Illinois,569
2020-04-18,Indiana,77
2020-04-18,Iowa,33
2020-04-18,Kansas,21
2020-04-18,Kentucky,93
2020-04-18,Louisiana,100
2020-04-18,Maine,23
2020-04-18,Maryland,144
2020-04-18,Massachusetts,83
2020-04-18,Michigan,226
2020-04-18,Minnesota,156
2020-04-18,Mississippi,20
2020-04-18,Missouri,166
2020-04-18,Montana,31
2020-04-18,Nebraska,40
2020-04-18,Nevada,189
2020-04-18,New Hampshire,21
2020-04-18,New Jersey,33
2020-04-18,New Mexico,35
2020-04-18,New York,240
2020-04-18,North Carolina,509
2020-04-18,North Dakota,28
2020-04-18,Ohio,119
2020-04-18,Oklahoma,56
2020-04-18,Oregon,84
2020-04-18,Pennsylvania,286
2020-04-18,Puerto Rico,24
2020-04-18,Rhode Island,30
2020-04-18,South Carolina,81
2020-04-18,South Dakota,18
