FL_DATE,ORIGIN_STATE,FLIGHT_COUNT_2019,FLIGHT_COUNT_2020
2019-04-09,Kansas,48,35
2019-04-09,Kentucky,268,142
2019-04-09,Louisiana,247,147
2019-04-09,Maine,53,34
2019-04-09,Maryland,312,231
2019-04-09,Massachusetts,457,169
2019-04-09,Michigan,654,322
2019-04-09,Minnesota,490,226
2019-04-09,Mississippi,45,27
2019-04-09,Missouri,421,296
2019-04-09,Montana,75,46
2019-04-09,Nebraska,95,62
2019-04-09,Nevada,504,341
2019-04-09,New Hampshire,34,21
2019-04-09,New Jersey,477,101
2019-04-09,New Mexico,80,59
2019-04-09,New York,1204,439
2019-04-09,North Carolina,1042,739
2019-04-09,North Dakota,62,39
2019-04-09,Ohio,365,175
2019-04-09,Oklahoma,128,89
2019-04-09,Oregon,295,152
2019-04-09,Pennsylvania,684,439
2019-04-09,Puerto Rico,75,32
2019-04-09,Rhode Island,56,37
2019-04-09,South Carolina,189,120
2019-04-09,South Dakota,41,32
2019-04-09,Tennessee,411,272
2019-04-09,Texas,2186,1557
2019-04-09,U.S. Pacific Trust Territories and Possessions,5,1
2019-04-09,U.S. Virgin Islands,15,4
2019-04-09,Utah,349,201
2019-04-09,Vermont,32,16
2019-04-09,Virginia,902,451
2019-04-09,Washington,627,295
2019-04-09,West Virginia,23,16
2019-04-09,Wisconsin,206,123
2019-04-09,Wyoming,22,13
2019-04-10,Alabama,128,71
2019-04-10,Alaska,102,43
2019-04-10,Arizona,599,408
2019-04-10,Arkansas,98,57
2019-04-10,California,2442,1299
2019-04-10,Colorado,830,529
2019-04-10,Connecticut,95,48
2019-04-10,Florida,1690,1055
2019-04-10,Georgia,1226,575
2019-04-10,Hawaii,317,97
2019-04-10,Idaho,84,43
2019-04-10,Illinois,1433,800
2019-04-10,Indiana,209,124
2019-04-10,Iowa,92,58
2019-04-10,Kansas,47,33
2019-04-10,Kentucky,266,144
2019-04-10,Louisiana,249,148
2019-04-10,Maine,55,35
2019-04-10,Maryland,315,229
2019-04-10,Massachusetts,463,169
2019-04-10,Michigan,659,321
2019-04-10,Minnesota,494,227
2019-04-10,Mississippi,45,27
2019-04-10,Missouri,425,292
2019-04-10,Montana,74,38
2019-04-10,Nebraska,99,60
2019-04-10,Nevada,525,338
2019-04-10,New Hampshire,36,23
2019-04-10,New Jersey,474,107
2019-04-10,New Mexico,81,57
2019-04-10,New York,1219,429
2019-04-10,North Carolina,1066,745
2019-04-10,North Dakota,65,37
2019-04-10,Ohio,363,175
2019-04-10,Oklahoma,128,90
2019-04-10,Oregon,295,116
2019-04-10,Pennsylvania,691,442
2019-04-10,Puerto Rico,76,34
2019-04-10,Rhode Island,56,34
2019-04-10,South Carolina,197,121
2019-04-10,South Dakota,45,32
2019-04-10,Tennessee,415,273
2019-04-10,Texas,2209,1548
2019-04-10,U.S. Pacific Trust Territories and Possessions,3,1
2019-04-10,U.S. Virgin Islands,13,4
2019-04-10,Utah,355,197
2019-04-10,Vermont,33,17
2019-04-10,Virginia,909,443
2019-04-10,Washington,635,264
2019-04-10,West Virginia,22,15
2019-04-10,Wisconsin,211,120
2019-04-10,Wyoming,21,14
2019-04-11,Alabama,132,61
2019-04-11,Alaska,104,33
2019-04-11,Arizona,615,399
2019-04-11,Arkansas,103,47
2019-04-11,California,2509,1009
2019-04-11,Colorado,856,474
2019-04-11,Connecticut,96,46
2019-04-11,Florida,1746,1164
2019-04-11,Georgia,1241,477
2019-04-11,Hawaii,325,98
2019-04-11,Idaho,88,38
2019-04-11,Illinois,1455,690
2019-04-11,Indiana,216,119
2019-04-11,Iowa,95,44
2019-04-11,Kansas,50,27
2019-04-11,Kentucky,279,111
2019-04-11,Louisiana,260,125
2019-04-11,Maine,51,31
2019-04-11,Maryland,319,180
2019-04-11,Massachusetts,475,133
2019-04-11,Michigan,665,271
2019-04-11,Minnesota,499,203
2019-04-11,Mississippi,45,22
2019-04-11,Missouri,430,246
2019-04-11,Montana,77,36
2019-04-11,Nebraska,104,54
2019-04-11,Nevada,553,282
2019-04-11,New Hampshire,35,24
2019-04-11,New Jersey,481,79
2019-04-11,New Mexico,85,48
2019-04-11,New York,1238,349
2019-04-11,North Carolina,1078,647
2019-04-11,North Dakota,68,33
2019-04-11,Ohio,380,161
2019-04-11,Oklahoma,135,71
2019-04-11,Oregon,307,95
2019-04-11,Pennsylvania,707,382
2019-04-11,Puerto Rico,76,34
2019-04-11,Rhode Island,57,32
2019-04-11,South Carolina,200,112
2019-04-11,South Dakota,44,25
2019-04-11,Tennessee,431,226
2019-04-11,Texas,2301,1343
2019-04-11,U.S. Pacific Trust Territories and Possessions,6,1
2019-04-11,U.S. Virgin Islands,15,5
2019-04-11,Utah,362,176
2019-04-11,Vermont,33,13
2019-04-11,Virginia,930,377
2019-04-11,Washington,649,251
2019-04-11,West Virginia,25,14
2019-04-11,Wisconsin,212,120
2019-04-11,Wyoming,22,13
2019-04-12,Alabama,130,65
2019-04-12,Alaska,104,34
2019-04-12,Arizona,619,374
2019-04-12,Arkansas,101,58
2019-04-12,California,2512,1089
2019-04-12,Colorado,859,491
2019-04-12,Connecticut,97,35
2019-04-12,Florida,1750,946
2019-04-12,Georgia,1252,525
2019-04-12,Hawaii,332,97
2019-04-12,Idaho,87,41
2019-04-12,Illinois,1452,713
2019-04-12,Indiana,214,121
2019-04-12,Iowa,93,52
2019-04-12,Kansas,49,31
2019-04-12,Kentucky,279,120
2019-04-12,Louisiana,259,143
2019-04-12,Maine,53,21
2019-04-12,Maryland,319,197
2019-04-12,Massachusetts,475,122
2019-04-12,Michigan,669,300
2019-04-12,Minnesota,502,200
2019-04-12,Mississippi,46,23
2019-04-12,Missouri,431,274
2019-04-12,Montana,77,37
2019-04-12,Nebraska,99,60
2019-04-12,Nevada,563,327
2019-04-12,New Hampshire,34,18
2019-04-12,New Jersey,481,82
2019-04-12,New Mexico,88,53
2019-04-12,New York,1235,313
2019-04-12,North Carolina,1077,560
2019-04-12,North Dakota,65,38
2019-04-12,Ohio,376,166
2019-04-12,Oklahoma,137,84
2019-04-12,Oregon,309,107
2019-04-12,Pennsylvania,704,330
2019-04-12,Puerto Rico,82,32
2019-04-12,Rhode Island,58,29
2019-04-12,South Carolina,203,109
2019-04-12,South Dakota,44,29
2019-04-12,Tennessee,436,266
2019-04-12,Texas,2306,1308
2019-04-12,U.S. Pacific Trust Territories and Possessions,3,1
2019-04-12,U.S. Virgin Islands,14,4
2019-04-12,Utah,368,192
2019-04-12,Vermont,33,11
2019-04-12,Virginia,924,374
2019-04-12,Washington,647,247
2019-04-12,West Virginia,25,14
2019-04-12,Wisconsin,215,113
2019-04-12,Wyoming,22,13
2019-04-13,Alabama,94,62
2019-04-13,Alaska,95,45
2019-04-13,Arizona,555,353
2019-04-13,Arkansas,70,54
2019-04-13,California,1980,1194
2019-04-13,Colorado,704,516
2019-04-13,Connecticut,84,37
2019-04-13,Florida,1732,890
2019-04-13,Georgia,953,541
2019-04-13,Hawaii,333,97
2019-04-13,Idaho,69,43
2019-04-13,Illinois,1163,750
2019-04-13,Indiana,168,116
2019-04-13,Iowa,73,53
2019-04-13,Kansas,35,33
2019-04-13,Kentucky,205,127
2019-04-13,Louisiana,204,134
2019-04-13,Maine,49,24
2019-04-13,Maryland,245,225
2019-04-13,Massachusetts,336,120
2019-04-13,Michigan,463,313
2019-04-13,Minnesota,340,215
2019-04-13,Mississippi,35,25
2019-04-13,Missouri,310,275
2019-04-13,Montana,64,38
2019-04-13,Nebraska,77,60
2019-04-13,Nevada,451,323
2019-04-13,New Hampshire,32,23
2019-04-13,New Jersey,380,82
2019-04-13,New Mexico,70,54
2019-04-13,New York,888,292
2019-04-13,North Carolina,887,586
2019-04-13,North Dakota,52,36
2019-04-13,Ohio,275,163
2019-04-13,Oklahoma,109,87
2019-04-13,Oregon,243,114
2019-04-13,Pennsylvania,570,349
2019-04-13,Puerto Rico,89,30
2019-04-13,Rhode Island,50,32
2019-04-13,South Carolina,179,100
2019-04-13,South Dakota,40,27
2019-04-13,Tennessee,319,241
2019-04-13,Texas,1842,1324
2019-04-13,U.S. Pacific Trust Territories and Possessions,3,1
2019-04-13,U.S. Virgin Islands,18,3
2019-04-13,Utah,280,192
2019-04-13,Vermont,32,13
2019-04-13,Virginia,701,378
2019-04-13,Washington,549,260
2019-04-13,West Virginia,17,14
2019-04-13,Wisconsin,166,118
2019-04-13,Wyoming,20,14
2019-04-14,Alabama,121,57
2019-04-14,Alaska,95,43
2019-04-14,Arizona,616,271
2019-04-14,Arkansas,95,49
2019-04-14,California,2393,873
2019-04-14,Colorado,831,433
2019-04-14,Connecticut,90,32
2019-04-14,Florida,1736,661
2019-04-14,Georgia,1189,509
2019-04-14,Hawaii,334,71
2019-04-14,Idaho,87,39
2019-04-14,Illinois,1402,648
2019-04-14,Indiana,204,89
2019-04-14,Iowa,90,43
2019-04-14,Kansas,47,27
2019-04-14,Kentucky,258,109
2019-04-14,Louisiana,262,123
2019-04-14,Maine,51,24
2019-04-14,Maryland,294,184
2019-04-14,Massachusetts,413,116
2019-04-14,Michigan,603,284
2019-04-14,Minnesota,473,207
2019-04-14,Mississippi,46,23
2019-04-14,Missouri,417,218
2019-04-14,Montana,76,35
2019-04-14,Nebraska,99,46
2019-04-14,Nevada,553,211
2019-04-14,New Hampshire,31,24
2019-04-14,New Jersey,457,75
2019-04-14,New Mexico,85,49
2019-04-14,New York,1115,278
2019-04-14,North Carolina,1026,544
2019-04-14,North Dakota,64,30
2019-04-14,Ohio,355,129
2019-04-14,Oklahoma,131,71
2019-04-14,Oregon,289,100
2019-04-14,Pennsylvania,676,325
2019-04-14,Puerto Rico,86,17
2019-04-14,Rhode Island,53,30
2019-04-14,South Carolina,199,92
2019-04-14,South Dakota,43,23
2019-04-14,Tennessee,416,192
2019-04-14,Texas,2247,1143
2019-04-14,U.S. Pacific Trust Territories and Possessions,3,1
2019-04-14,U.S. Virgin Islands,15,3
2019-04-14,Utah,351,175
2019-04-14,Vermont,35,11
2019-04-14,Virginia,881,351
2019-04-14,Washington,623,232
2019-04-14,West Virginia,25,11
2019-04-14,Wisconsin,196,104
2019-04-14,Wyoming,20,12
2019-04-15,Alabama,131,56
2019-04-15,Alaska,105,47
2019-04-15,Arizona,616,277
2019-04-15,Arkansas,101,48
2019-04-15,California,2509,846
2019-04-15,Colorado,860,441
2019-04-15,Connecticut,97,35
2019-04-15,Florida,1749,636
2019-04-15,Georgia,1254,392
2019-04-15,Hawaii,320,71
2019-04-15,Idaho,88,36
2019-04-15,Illinois,1454,665
2019-04-15,Indiana,212,92
2019-04-15,Iowa,93,46
2019-04-15,Kansas,49,31
2019-04-15,Kentucky,279,100
2019-04-15,Louisiana,258,117
2019-04-15,Maine,54,25
2019-04-15,Maryland,319,182
2019-04-15,Massachusetts,479,105
2019-04-15,Michigan,667,265
2019-04-15,Minnesota,501,184
2019-04-15,Mississippi,45,23
2019-04-15,Missouri,431,214
2019-04-15,Montana,76,34
2019-04-15,Nebraska,100,51
2019-04-15,Nevada,557,215
2019-04-15,New Hampshire,35,24
2019-04-15,New Jersey,481,72
2019-04-15,New Mexico,88,44
2019-04-15,New York,1240,254
2019-04-15,North Carolina,1078,540
2019-04-15,North Dakota,65,32
2019-04-15,Ohio,379,132
2019-04-15,Oklahoma,137,71
2019-04-15,Oregon,309,93
2019-04-15,Pennsylvania,705,332
2019-04-15,Puerto Rico,79,18
2019-04-15,Rhode Island,58,27
2019-04-15,South Carolina,204,84
2019-04-15,South Dakota,44,27
2019-04-15,Tennessee,436,189
2019-04-15,Texas,2300,1126
2019-04-15,U.S. Pacific Trust Territories and Possessions,4,1
2019-04-15,U.S. Virgin Islands,14,3
2019-04-15,Utah,368,152
2019-04-15,Vermont,32,12
2019-04-15,Virginia,923,342
2019-04-15,Washington,648,217
2019-04-15,West Virginia,25,11
2019-04-15,Wisconsin,214,102
2019-04-15,Wyoming,22,13
2019-04-16,Alabama,124,55
2019-04-16,Alaska,101,46
2019-04-16,Arizona,590,280
2019-04-16,Arkansas,95,51
2019-04-16,California,2402,868
2019-04-16,Colorado,812,457
2019-04-16,Connecticut,95,36
2019-04-16,Florida,1657,697
2019-04-16,Georgia,1213,394
2019-04-16,Hawaii,309,71
2019-04-16,Idaho,84,41
2019-04-16,Illinois,1406,669
2019-04-16,Indiana,206,94
2019-04-16,Iowa,87,50
2019-04-16,Kansas,48,31
2019-04-16,Kentucky,262,117
2019-04-16,Louisiana,247,122
2019-04-16,Maine,54,24
2019-04-16,Maryland,313,181
2019-04-16,Massachusetts,463,122
2019-04-16,Michigan,650,267
2019-04-16,Minnesota,488,184
2019-04-16,Mississippi,45,24
2019-04-16,Missouri,420,221
2019-04-16,Montana,75,36
2019-04-16,Nebraska,95,50
2019-04-16,Nevada,506,246
2019-04-16,New Hampshire,36,23
