YEAR,FL_DATE,ORIGIN_STATE,FLIGHT_COUNT
2019,2019-04-11,Hawaii,325
2019,2019-04-11,Idaho,88
2019,2019-04-11,Illinois,1455
2019,2019-04-11,Indiana,216
2019,2019-04-11,Iowa,95
2019,2019-04-11,Kansas,50
2019,2019-04-11,Kentucky,279
2019,2019-04-11,Louisiana,260
2019,2019-04-11,Maine,51
2019,2019-04-11,Maryland,319
2019,2019-04-11,Massachusetts,475
2019,2019-04-11,Michigan,665
2019,2019-04-11,Minnesota,499
2019,2019-04-11,Mississippi,45
2019,2019-04-11,Missouri,430
2019,2019-04-11,Montana,77
2019,2019-04-11,Nebraska,104
2019,2019-04-11,Nevada,553
2019,2019-04-11,New Hampshire,35
2019,2019-04-11,New Jersey,481
2019,2019-04-11,New Mexico,85
2019,2019-04-11,New York,1238
2019,2019-04-11,North Carolina,1078
2019,2019-04-11,North Dakota,68
2019,2019-04-11,Ohio,380
2019,2019-04-11,Oklahoma,135
2019,2019-04-11,Oregon,307
2019,2019-04-11,Pennsylvania,707
2019,2019-04-11,Puerto Rico,76
2019,2019-04-11,Rhode Island,57
2019,2019-04-11,South Carolina,200
2019,2019-04-11,South Dakota,44
2019,2019-04-11,Tennessee,431
2019,2019-04-11,Texas,2301
2019,2019-04-11,U.S. Pacific Trust Territories and Possessions,6
2019,2019-04-11,U.S. Virgin Islands,15
2019,2019-04-11,Utah,362
2019,2019-04-11,Vermont,33
2019,2019-04-11,Virginia,930
2019,2019-04-11,Washington,649
2019,2019-04-11,West Virginia,25
2019,2019-04-11,Wisconsin,212
2019,2019-04-11,Wyoming,22
2019,2019-04-12,Alabama,130
2019,2019-04-12,Alaska,104
2019,2019-04-12,Arizona,619
2019,2019-04-12,Arkansas,101
2019,2019-04-12,California,2512
2019,2019-04-12,Colorado,859
2019,2019-04-12,Connecticut,97
2019,2019-04-12,Florida,1750
2019,2019-04-12,Georgia,1252
2019,2019-04-12,Hawaii,332
2019,2019-04-12,Idaho,87
2019,2019-04-12,Illinois,1452
2019,2019-04-12,Indiana,214
2019,2019-04-12,Iowa,93
2019,2019-04-12,Kansas,49
2019,2019-04-12,Kentucky,279
2019,2019-04-12,Louisiana,259
2019,2019-04-12,Maine,53
2019,2019-04-12,Maryland,319
2019,2019-04-12,Massachusetts,475
2019,2019-04-12,Michigan,669
2019,2019-04-12,Minnesota,502
2019,2019-04-12,Mississippi,46
2019,2019-04-12,Missouri,431
2019,2019-04-12,Montana,77
2019,2019-04-12,Nebraska,99
2019,2019-04-12,Nevada,563
2019,2019-04-12,New Hampshire,34
2019,2019-04-12,New Jersey,481
2019,2019-04-12,New Mexico,88
2019,2019-04-12,New York,1235
2019,2019-04-12,North Carolina,1077
2019,2019-04-12,North Dakota,65
2019,2019-04-12,Ohio,376
2019,2019-04-12,Oklahoma,137
2019,2019-04-12,Oregon,309
2019,2019-04-12,Pennsylvania,704
2019,2019-04-12,Puerto Rico,82
2019,2019-04-12,Rhode Island,58
2019,2019-04-12,South Carolina,203
2019,2019-04-12,South Dakota,44
2019,2019-04-12,Tennessee,436
2019,2019-04-12,Texas,2306
2019,2019-04-12,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-12,U.S. Virgin Islands,14
2019,2019-04-12,Utah,368
2019,2019-04-12,Vermont,33
2019,2019-04-12,Virginia,924
2019,2019-04-12,Washington,647
2019,2019-04-12,West Virginia,25
2019,2019-04-12,Wisconsin,215
2019,2019-04-12,Wyoming,22
2019,2019-04-13,Alabama,94
2019,2019-04-13,Alaska,95
2019,2019-04-13,Arizona,555
2019,2019-04-13,Arkansas,70
2019,2019-04-13,California,1980
2019,2019-04-13,Colorado,704
2019,2019-04-13,Connecticut,84
2019,2019-04-13,Florida,1732
2019,2019-04-13,Georgia,953
2019,2019-04-13,Hawaii,333
2019,2019-04-13,Idaho,69
2019,2019-04-13,Illinois,1163
2019,2019-04-13,Indiana,168
2019,2019-04-13,Iowa,73
2019,2019-04-13,Kansas,35
2019,2019-04-13,Kentucky,205
2019,2019-04-13,Louisiana,204
2019,2019-04-13,Maine,49
2019,2019-04-13,Maryland,245
2019,2019-04-13,Massachusetts,336
2019,2019-04-13,Michigan,463
2019,2019-04-13,Minnesota,340
2019,2019-04-13,Mississippi,35
2019,2019-04-13,Missouri,310
2019,2019-04-13,Montana,64
2019,2019-04-13,Nebraska,77
2019,2019-04-13,Nevada,451
2019,2019-04-13,New Hampshire,32
2019,2019-04-13,New Jersey,380
2019,2019-04-13,New Mexico,70
2019,2019-04-13,New York,888
2019,2019-04-13,North Carolina,887
2019,2019-04-13,North Dakota,52
2019,2019-04-13,Ohio,275
2019,2019-04-13,Oklahoma,109
2019,2019-04-13,Oregon,243
2019,2019-04-13,Pennsylvania,570
2019,2019-04-13,Puerto Rico,89
2019,2019-04-13,Rhode Island,50
2019,2019-04-13,South Carolina,179
2019,2019-04-13,South Dakota,40
2019,2019-04-13,Tennessee,319
2019,2019-04-13,Texas,1842
2019,2019-04-13,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-13,U.S. Virgin Islands,18
2019,2019-04-13,Utah,280
2019,2019-04-13,Vermont,32
2019,2019-04-13,Virginia,701
2019,2019-04-13,Washington,549
2019,2019-04-13,West Virginia,17
2019,2019-04-13,Wisconsin,166
2019,2019-04-13,Wyoming,20
2019,2019-04-14,Alabama,121
2019,2019-04-14,Alaska,95
2019,2019-04-14,Arizona,616
2019,2019-04-14,Arkansas,95
2019,2019-04-14,California,2393
2019,2019-04-14,Colorado,831
2019,2019-04-14,Connecticut,90
2019,2019-04-14,Florida,1736
2019,2019-04-14,Georgia,1189
2019,2019-04-14,Hawaii,334
2019,2019-04-14,Idaho,87
2019,2019-04-14,Illinois,1402
2019,2019-04-14,Indiana,204
2019,2019-04-14,Iowa,90
2019,2019-04-14,Kansas,47
2019,2019-04-14,Kentucky,258
2019,2019-04-14,Louisiana,262
2019,2019-04-14,Maine,51
2019,2019-04-14,Maryland,294
2019,2019-04-14,Massachusetts,413
2019,2019-04-14,Michigan,603
2019,2019-04-14,Minnesota,473
2019,2019-04-14,Mississippi,46
2019,2019-04-14,Missouri,417
2019,2019-04-14,Montana,76
2019,2019-04-14,Nebraska,99
2019,2019-04-14,Nevada,553
2019,2019-04-14,New Hampshire,31
2019,2019-04-14,New Jersey,457
2019,2019-04-14,New Mexico,85
2019,2019-04-14,New York,1115
2019,2019-04-14,North Carolina,1026
2019,2019-04-14,North Dakota,64
2019,2019-04-14,Ohio,355
2019,2019-04-14,Oklahoma,131
2019,2019-04-14,Oregon,289
2019,2019-04-14,Pennsylvania,676
2019,2019-04-14,Puerto Rico,86
2019,2019-04-14,Rhode Island,53
2019,2019-04-14,South Carolina,199
2019,2019-04-14,South Dakota,43
2019,2019-04-14,Tennessee,416
2019,2019-04-14,Texas,2247
2019,2019-04-14,U.S. Pacific Trust Territories and Possessions,3
2019,2019-04-14,U.S. Virgin Islands,15
2019,2019-04-14,Utah,351
2019,2019-04-14,Vermont,35
2019,2019-04-14,Virginia,881
2019,2019-04-14,Washington,623
2019,2019-04-14,West Virginia,25
2019,2019-04-14,Wisconsin,196
2019,2019-04-14,Wyoming,20
2019,2019-04-15,Alabama,131
2019,2019-04-15,Alaska,105
2019,2019-04-15,Arizona,616
2019,2019-04-15,Arkansas,101
2019,2019-04-15,California,2509
2019,2019-04-15,Colorado,860
2019,2019-04-15,Connecticut,97
2019,2019-04-15,Florida,1749
2019,2019-04-15,Georgia,1254
2019,2019-04-15,Hawaii,320
2019,2019-04-15,Idaho,88
2019,2019-04-15,Illinois,1454
2019,2019-04-15,Indiana,212
2019,2019-04-15,Iowa,93
2019,2019-04-15,Kansas,49
2019,2019-04-15,Kentucky,279
2019,2019-04-15,Louisiana,258
2019,2019-04-15,Maine,54
2019,2019-04-15,Maryland,319
2019,2019-04-15,Massachusetts,479
2019,2019-04-15,Michigan,667
2019,2019-04-15,Minnesota,501
2019,2019-04-15,Mississippi,45
2019,2019-04-15,Missouri,431
2019,2019-04-15,Montana,76
2019,2019-04-15,Nebraska,100
2019,2019-04-15,Nevada,557
2019,2019-04-15,New Hampshire,35
2019,2019-04-15,New Jersey,481
2019,2019-04-15,New Mexico,88
2019,2019-04-15,New York,1240
2019,2019-04-15,North Carolina,1078
2019,2019-04-15,North Dakota,65
2019,2019-04-15,Ohio,379
2019,2019-04-15,Oklahoma,137
2019,2019-04-15,Oregon,309
2019,2019-04-15,Pennsylvania,705
2019,2019-04-15,Puerto Rico,79
2019,2019-04-15,Rhode Island,58
2019,2019-04-15,South Carolina,204
2019,2019-04-15,South Dakota,44
2019,2019-04-15,Tennessee,436
2019,2019-04-15,Texas,2300
